"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Arizona","11 to 15",2007-01-01,1631,1398,186,440166
"Arizona","6 to 10",2007-01-01,1432,1571,453,428051
"Arizona","1 to 5",2007-01-01,2204,2604,918,461494
"Arizona","<1",2007-01-01,1354,526,29,96177
"Arizona","<1",2006-01-01,1342,469,19,94201
"Arizona","1 to 5",2006-01-01,2137,2541,827,453503
"Arizona","6 to 10",2006-01-01,1396,1575,385,415415
"Arizona","11 to 15",2006-01-01,1692,1355,147,435180
"Arizona","16 to 20",2006-01-01,820,1198,22,262718
"Arizona","16 to 20",2005-01-01,728,1103,8,249764
"Arizona","11 to 15",2005-01-01,1732,1327,120,428129
"Arizona","6 to 10",2005-01-01,1502,1366,274,405333
"Arizona","1 to 5",2005-01-01,2309,2142,606,436091
"Arizona","<1",2005-01-01,1275,385,4,92434
"Arizona","16 to 20",2003-01-01,610,913,12,235383
"Arizona","11 to 15",2003-01-01,1390,1012,127,408474
"Arizona","6 to 10",2003-01-01,1251,987,244,394516
"Arizona","1 to 5",2003-01-01,1914,1549,434,406295
"Arizona","<1",2003-01-01,1042,321,22,87052
"Arizona","<1",2004-01-01,1216,344,8,89116
"Arizona","1 to 5",2004-01-01,2256,1701,417,419153
"Arizona","6 to 10",2004-01-01,1393,1019,185,396820
"Arizona","11 to 15",2004-01-01,1629,1065,104,418133
"Arizona","16 to 20",2004-01-01,678,946,15,241801
"Arizona","<1",2002-01-01,666,229,18,84886
"Arizona","1 to 5",2002-01-01,1443,1418,387,396720
"Arizona","6 to 10",2002-01-01,1041,1079,253,393336
"Arizona","11 to 15",2002-01-01,1330,1153,123,398668
"Arizona","16 to 20",2002-01-01,567,895,12,228499
"Arizona","16 to 20",2001-01-01,475,860,20,221526
"Arizona","11 to 15",2001-01-01,1261,1195,164,387644
"Arizona","6 to 10",2001-01-01,952,1068,280,392542
"Arizona","1 to 5",2001-01-01,1242,1400,466,385728
"Arizona","<1",2001-01-01,585,202,8,84721
"Arizona","<1",2000-01-01,651,263,6,78966
"Arizona","1 to 5",2000-01-01,1240,1464,385,382140
"Arizona","6 to 10",2000-01-01,1019,1224,311,393472
"Arizona","11 to 15",2000-01-01,1256,1172,142,374446
"Arizona","16 to 20",2000-01-01,475,929,9,219565
"Arkansas","<1",2000-01-01,344,175,11,36428
"Arkansas","1 to 5",2000-01-01,929,972,128,180919
"Arkansas","6 to 10",2000-01-01,841,872,88,189935
"Arkansas","11 to 15",2000-01-01,1038,978,81,193463
"Arkansas","16 to 20",2000-01-01,390,673,15,119268
"Arkansas","16 to 20",2001-01-01,343,567,18,118086
"Arkansas","11 to 15",2001-01-01,972,791,71,194513
"Arkansas","6 to 10",2001-01-01,779,766,116,187094
"Arkansas","1 to 5",2001-01-01,934,943,151,181471
"Arkansas","<1",2001-01-01,319,168,6,37013
"Arkansas","<1",2002-01-01,357,199,9,37217
"Arkansas","1 to 5",2002-01-01,983,918,113,181987
"Arkansas","6 to 10",2002-01-01,747,687,100,184989
"Arkansas","11 to 15",2002-01-01,894,783,61,195355
"Arkansas","16 to 20",2002-01-01,369,604,14,117759
"Arkansas","16 to 20",2003-01-01,345,563,8,117344
"Arkansas","11 to 15",2003-01-01,947,793,76,196232
"Arkansas","6 to 10",2003-01-01,776,766,101,184236
"Arkansas","1 to 5",2003-01-01,1071,1052,189,183466
"Arkansas","<1",2003-01-01,421,233,11,37155
"Arkansas","<1",2004-01-01,392,220,7,37766
"Arkansas","1 to 5",2004-01-01,1128,1067,160,185528
"Arkansas","6 to 10",2004-01-01,781,732,98,184353
"Arkansas","11 to 15",2004-01-01,872,725,59,197034
"Arkansas","16 to 20",2004-01-01,313,513,7,117358
"Arkansas","16 to 20",2005-01-01,362,598,10,118081
"Arkansas","11 to 15",2005-01-01,896,773,63,196509
"Arkansas","6 to 10",2005-01-01,760,712,110,186453
"Arkansas","1 to 5",2005-01-01,1134,1046,127,188575
"Arkansas","<1",2005-01-01,463,235,6,38707
"Arkansas","<1",2006-01-01,527,273,11,39522
"Arkansas","1 to 5",2006-01-01,1238,1160,175,191745
"Arkansas","6 to 10",2006-01-01,840,797,130,189264
"Arkansas","11 to 15",2006-01-01,946,751,62,195694
"Arkansas","16 to 20",2006-01-01,373,634,17,121003
"Arkansas","16 to 20",2007-01-01,421,666,9,122785
"Arkansas","11 to 15",2007-01-01,925,760,58,194553
"Arkansas","6 to 10",2007-01-01,844,839,107,191385
"Arkansas","1 to 5",2007-01-01,1320,1218,218,193410
"Arkansas","<1",2007-01-01,576,296,12,40530
"Arkansas","<1",2008-01-01,607,280,12,40784
"Arkansas","1 to 5",2008-01-01,1231,1280,273,194938
"Arkansas","6 to 10",2008-01-01,801,835,150,193708
"Arkansas","11 to 15",2008-01-01,782,707,61,194256
"Arkansas","16 to 20",2008-01-01,351,572,9,123677
"Arkansas","<1",2013-01-01,655,254,28,37647
"Arkansas","1 to 5",2013-01-01,1351,1374,387,194212
"Arkansas","6 to 10",2013-01-01,879,896,161,199283
"Arkansas","11 to 15",2013-01-01,682,644,92,199070
"Arkansas","16 to 20",2013-01-01,231,446,22,117576
"Arkansas","<1",2018-01-01,608,215,31,37229
"Arkansas","1 to 5",2018-01-01,1034,1494,552,191263
"Arkansas","6 to 10",2018-01-01,658,842,246,195656
"Arkansas","11 to 15",2018-01-01,594,590,135,200081
"Arkansas","16 to 20",2018-01-01,229,437,37,119076
"Arkansas","16 to 20",2009-01-01,362,609,13,122259
"Arkansas","11 to 15",2009-01-01,879,735,81,194497
"Arkansas","6 to 10",2009-01-01,872,839,153,195549
"Arkansas","1 to 5",2009-01-01,1413,1431,333,198261
"Arkansas","<1",2009-01-01,634,302,21,38962
"Arkansas","<1",2010-01-01,672,295,26,38236
"Arkansas","1 to 5",2010-01-01,1378,1353,332,198805
"Arkansas","6 to 10",2010-01-01,863,811,150,197749
"Arkansas","11 to 15",2010-01-01,757,656,65,196700
"Arkansas","16 to 20",2010-01-01,320,596,22,121125
"Arkansas","<1",2015-01-01,684,215,18,38451
"Arkansas","1 to 5",2015-01-01,1399,1298,416,191350
"Arkansas","6 to 10",2015-01-01,962,792,195,199288
"Arkansas","11 to 15",2015-01-01,778,530,90,198053
"Arkansas","16 to 20",2015-01-01,242,378,21,118596
"Arkansas","<1",2020-01-01,597,154,26,34975
"Arkansas","1 to 5",2020-01-01,1089,1142,373,185163
"Arkansas","6 to 10",2020-01-01,679,660,192,190694
"Arkansas","11 to 15",2020-01-01,557,534,148,205445
"Arkansas","16 to 20",2020-01-01,184,392,38,120343
"Arkansas","<1",2011-01-01,590,239,24,38212
"Arkansas","1 to 5",2011-01-01,1379,1434,333,198085
"Arkansas","11 to 15",2011-01-01,735,691,71,198599
"Arkansas","16 to 20",2011-01-01,280,503,17,119089
"Arkansas","6 to 10",2011-01-01,871,906,146,197463
"Arkansas","<1",2012-01-01,601,252,17,38361
"Arkansas","1 to 5",2012-01-01,1309,1504,428,196892
"Arkansas","6 to 10",2012-01-01,915,890,168,197789
"Arkansas","11 to 15",2012-01-01,747,657,75,199523
"Arkansas","16 to 20",2012-01-01,273,498,14,117891
"Arkansas","<1",2014-01-01,590,227,32,37958
"Arkansas","1 to 5",2014-01-01,1279,1344,411,191838
"Arkansas","6 to 10",2014-01-01,840,865,186,200078
"Arkansas","11 to 15",2014-01-01,639,580,94,198032
"Arkansas","16 to 20",2014-01-01,194,389,19,117985
"Arkansas","<1",2016-01-01,778,207,28,38294
"Arkansas","1 to 5",2016-01-01,1366,1356,472,191622
"Arkansas","6 to 10",2016-01-01,959,825,146,198502
"Arkansas","11 to 15",2016-01-01,740,597,92,197448
"Arkansas","16 to 20",2016-01-01,260,420,20,119619
"Arkansas","<1",2017-01-01,777,259,29,37349
"Arkansas","1 to 5",2017-01-01,1256,1552,553,192308
"Arkansas","11 to 15",2017-01-01,693,610,109,197866
"Arkansas","16 to 20",2017-01-01,218,442,33,119741
"Arkansas","6 to 10",2017-01-01,834,907,247,197667
"Arkansas","<1",2019-01-01,572,170,29,36338
"Arkansas","1 to 5",2019-01-01,1089,1279,503,190822
"Arkansas","6 to 10",2019-01-01,633,684,238,193561
"Arkansas","11 to 15",2019-01-01,567,543,174,201542
"Arkansas","16 to 20",2019-01-01,210,431,40,118011
"Arkansas","16 to 20",2021-01-01,198,377,42,120211
"Arkansas","11 to 15",2021-01-01,559,466,138,205170
"Arkansas","6 to 10",2021-01-01,658,612,169,191053
"Arkansas","1 to 5",2021-01-01,979,1079,395,183622
"Arkansas","<1",2021-01-01,570,121,24,34819
"California","16 to 20",2021-01-01,1939,3298,175,1515193
"California","<1",2021-01-01,5225,881,99,411583
"California","1 to 5",2021-01-01,6493,8931,3656,2244671
"California","6 to 10",2021-01-01,4749,5598,1555,2414736
"California","11 to 15",2021-01-01,4478,4341,756,2561250
"California","<1",2019-01-01,5776,1131,188,451885
"California","1 to 5",2019-01-01,8246,10139,4289,2412454
"California","6 to 10",2019-01-01,6035,6191,1631,2478809
"California","11 to 15",2019-01-01,5599,4483,738,2539566
"California","16 to 20",2019-01-01,2476,3593,134,1518403
"California","<1",2017-01-01,5924,1263,179,482794
"California","1 to 5",2017-01-01,8398,10379,3994,2481962
"California","11 to 15",2017-01-01,5118,4482,582,2520112
"California","16 to 20",2017-01-01,2506,5871,122,1553271
"California","6 to 10",2017-01-01,6061,6544,1647,2532237
"California","<1",2016-01-01,6244,1370,204,489662
"California","1 to 5",2016-01-01,8972,11018,4046,2506469
"California","6 to 10",2016-01-01,6467,7009,1574,2538936
"California","11 to 15",2016-01-01,5857,4833,599,2519897
